,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(10,)",[0.54787418 0.50772797 0.53288086 0.5248966  0.51185092],0.5250461038414703,"('YEARFOUNDED_awayTeam',)",0.01868370452134348,0.014536556864455633,0.007268278432227817
19,"(19,)",[0.49536743 0.53877278 0.52453164 0.52774532 0.53056123],0.5233956800233595,"('W_PCT_awayTeam',)",0.019008345795354983,0.014789138804767659,0.0073945694023838295
11,"(11,)",[0.52720586 0.5129584  0.52793829 0.51860526 0.52271119],0.5218838004948718,"('CONFERENCE_awayTeam',)",0.007181024633884758,0.005587081128171061,0.0027935405640855306
16,"(16,)",[0.50274147 0.51432295 0.52372649 0.51514109 0.52215172],0.5156167466423187,"('G_awayTeam',)",0.009551828106841704,0.007431646774117673,0.003715823387058836
12,"(12,)",[0.48596566 0.51875089 0.52039991 0.47914629 0.51885387],0.5046233220402465,"('G_homeTeam',)",0.023335623480188628,0.018155907855413673,0.009077953927706836
23,"(23,)",[0.50575818 0.50956552 0.49757538 0.50530239 0.50057832],0.5037559601380639,"('PLAYOFF_GAME',)",0.005405813518472849,0.00420590657062441,0.002102953285312205
20,"(20,)",[0.48774995 0.5037491  0.52009111 0.50777072 0.4967625 ],0.5032246775317322,"('WEEKDAY',)",0.013922080548953256,0.010831851645919646,0.005415925822959823
5,"(5,)",[0.5 0.5 0.5 0.5 0.5],0.5,"('TEAM_ID_away',)",0.0,0.0,0.0
3,"(3,)",[0.5 0.5 0.5 0.5 0.5],0.5,"('VISITOR_TEAM_ID',)",0.0,0.0,0.0
2,"(2,)",[0.5 0.5 0.5 0.5 0.5],0.5,"('HOME_TEAM_ID',)",0.0,0.0,0.0
22,"(22,)",[0.51772999 0.4993463  0.47999354 0.48943033 0.49978032],0.4972560967904033,"('MONTH_NUM',)",0.016147259712985446,0.012563116632186398,0.006281558316093199
4,"(4,)",[0.51937088 0.50202244 0.48648568 0.48903228 0.48722099],0.49682645466311104,"('SEASON',)",0.016208893910460362,0.012611070131738147,0.0063055350658690725
21,"(21,)",[0.4826359  0.50107265 0.49660302 0.49041839 0.49618278],0.4933825481724304,"('WEEKEND_GAME',)",0.008161892985991433,0.0063502300294318,0.0031751150147159
1,"(1,)",[0.49985141 0.49120087 0.48640621 0.46250017 0.48417214],0.48482616037605286,"('GAME_ID',)",0.015926916896137542,0.01239168243490904,0.006195841217454519
0,"(0,)",[0.4899533  0.50189599 0.4873679  0.45261628 0.48299015],0.48296472358186576,"('GAME_DATE_EST',)",0.02110109365669377,0.01641736773841233,0.008208683869206165
