,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
33,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53)",[0.59028158 0.61741883 0.60051978 0.57433772 0.58780261],0.5940721034916641,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'YEARFOUNDED_homeTeam', 'CONFERENCE_homeTeam', 'ARENACAPACITY_awayTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FTpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FGpercent_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FGper19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.01844526758469649,0.014351044827257868,0.007175522413628933
26,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 23, 24, 25, 27, 28, 29, 30, 32, 33, 35, 42, 43, 45, 46, 47, 50, 53)",[0.59499583 0.61692538 0.59920692 0.5760292  0.58084854],0.5936011742742832,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'FTper19_awayTeam', 'REB19_awayTeam')",0.01861491690195428,0.014483037759629322,0.007241518879814661
28,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 23, 24, 25, 27, 28, 29, 30, 32, 33, 35, 42, 43, 45, 46, 47, 48, 50, 51, 53)",[0.59385985 0.60957936 0.59957823 0.57417641 0.58886727],0.5932122251811267,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.01509951103819009,0.011747932567729488,0.005873966283864744
27,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 23, 24, 25, 27, 28, 29, 30, 32, 33, 35, 42, 43, 45, 46, 47, 50, 51, 53)",[0.59950045 0.60604228 0.59999581 0.57983056 0.57930601],0.5929350236930444,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.014338186925242316,0.011155596543173758,0.005577798271586878
32,"(2, 3, 4, 5, 6, 8, 9, 10, 11, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53)",[0.59537798 0.61632354 0.59209519 0.57532188 0.58547474],0.5929186658352509,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'ARENACAPACITY_awayTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FTpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FGpercent_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FGper19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.017430487854015894,0.01356151172138563,0.006780755860692814
30,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 42, 43, 45, 46, 47, 48, 50, 51, 53)",[0.59331724 0.6084753  0.60156563 0.57829561 0.58178472],0.5926876982656287,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FTpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FGpercent_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.014704866628907924,0.0114408858099403,0.00572044290497015
31,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53)",[0.5974449  0.61328768 0.59738344 0.57027808 0.58487277],0.5926533739414888,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FTpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FGpercent_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FGper19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.01846796489355589,0.01436870410465266,0.00718435205232633
29,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 35, 42, 43, 45, 46, 47, 48, 50, 51, 53)",[0.5934764  0.61335579 0.59779703 0.57451301 0.5819184 ],0.5922121263166786,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FGpercent_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.017235015052504517,0.01340942724095625,0.006704713620478125
34,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53)",[0.59534547 0.60915274 0.59637868 0.57616269 0.58115551],0.5916390155493303,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'YEARFOUNDED_homeTeam', 'CONFERENCE_homeTeam', 'ARENACAPACITY_awayTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FTpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FGpercent_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_APG_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FGper19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.01512447449577771,0.011767354985823358,0.005883677492911679
35,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53)",[0.59333559 0.61346369 0.59915467 0.56777543 0.57824274],0.5903944238042071,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'YEARFOUNDED_homeTeam', 'CONFERENCE_homeTeam', 'ARENACAPACITY_awayTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'PLAYOFF_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FTpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FGpercent_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_APG_awayTeam', 'HIST_REB_awayTeam', 'DIFF_HIST_FT', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'PPG19_awayTeam', 'FGper19_awayTeam', 'FTper19_awayTeam', 'FG3per19_awayTeam', 'REB19_awayTeam')",0.020539462325656715,0.01598039948240327,0.007990199741201635
